EMPLOYER_NAME,median,std
"Meta Platforms, Inc",160638.0,32364.657966890703
Apple Inc.,146744.0,31306.9791585186
Google LLC,130894.0,29757.55617803826
Microsoft Corporation,119350.0,28345.033373853606
"Qualcomm Technologies, Inc.",117021.0,22753.997992083852
AMAZON.COM SERVICES LLC,113110.0,28543.64212875984
Intel Corporation ,109512.0,26618.09791406508
"WAL-MART ASSOCIATES, INC.",108784.0,30448.700371328036
Amazon.com Services LLC,106642.0,33222.8358410331
"Amazon Web Services, Inc.",101566.0,29558.090819434263
Deloitte Consulting LLP,98259.0,29434.601592995463
Accenture LLP,96512.0,24229.214344429198
CAPGEMINI AMERICA INC,95264.0,20411.554446316368
IBM Corporation,94619.0,24937.178628419817
"COMPUNNEL SOFTWARE GROUP, INC",94037.0,24604.91997190988
Cognizant Technology Solutions US Corp,92269.0,18269.690583549997
Ernst & Young U.S. LLP,89502.5,30671.389546737046
Wipro Limited,78104.0,17798.133763051075
INFOSYS LIMITED,77771.0,38165.93606056761
Tata Consultancy Services Limited,75691.0,14512.913255650707
