JOB_TITLE_GROUPED,median,std
Machine Learning/AI Engineer,133390.0,41052.980436180325
Vice President,129792.0,28934.934493335364
Technical/Project/Product Manager,110531.0,38528.79922010067
Security Engineer/Cybersecurity,106413.0,37491.66980250474
Software Engineer,104291.0,38409.40195719037
Data Scientist,103002.0,34569.62466115077
Data Engineer/Architect,101192.0,35353.58140799993
Senior Consultant,95389.0,20185.482399701457
DevOps/Site Reliability Engineer,94806.0,35263.36765409331
Business Analyst/Business Intelligence,91749.0,30053.58555991569
Application Developer,87485.0,24107.664355939865
Java Developer,87485.0,33154.55347401906
QA Engineer,86611.0,33827.69697723808
Network Engineer/Administrator/Architect,86029.0,40316.931518170706
Research Scientist,85852.0,50980.396755474416
Systems Analyst/Engineer/Architect,85301.0,32656.92647957876
Electrical Engineer,84802.0,35365.5895302322
Database Administrator/Engineer,84718.0,26569.99915455251
Mechanical Engineer,80818.5,33141.97204233202
Assistant Professor,61645.0,28583.704093068995
