JOB_TITLE,COUNT
Software Engineer,611722
Systems Analyst/Engineer/Architect,526953
Technical/Project/Product Manager,264154
QA Engineer,86467
Data Engineer/Architect,37379
Data Scientist,31124
Assistant Professor,20244
Database Administrator/Engineer,16730
DevOps/Site Reliability Engineer,14107
Mechanical Engineer,13474
Business Analyst/Business Intelligence,11606
Network Engineer/Administrator/Architect,10713
Security Engineer/Cybersecurity,8684
Machine Learning/AI Engineer,8401
Java Developer,7770
Electrical Engineer,7741
Senior Consultant,7066
Application Developer,6996
Vice President,6407
Research Scientist,6206
